x y
0.0 20.0
0.021 20.021
0.042 19.863
0.064 19.877
0.085 19.919
0.106 20.041
0.127 20.002
0.149 19.976
0.17 19.75
0.191 19.716
0.212 19.63
0.233 20.285
0.255 19.724
0.276 19.851
0.297 19.738
0.318 19.563
0.339 19.409
0.361 19.148
0.382 19.171
0.403 19.156
0.424 19.298
0.446 18.725
0.467 18.68
0.488 18.817
0.509 18.984
0.53 18.863
0.552 18.709
0.573 18.01
0.594 18.212
0.615 17.919
0.636 17.863
0.658 18.233
0.679 17.51
0.7 17.634
0.721 17.261
0.743 17.287
0.764 17.555
0.785 17.074
0.806 16.217
0.827 16.714
0.849 16.547
0.87 16.324
0.891 15.895
0.912 16.075
0.933 15.628
0.955 15.606
0.976 15.115
0.997 15.126
1.018 14.704
1.04 14.688
1.061 14.725
1.082 14.206
1.103 13.972
1.124 14.052
1.146 13.268
1.167 13.401
1.188 12.912
1.209 12.287
1.23 12.649
1.252 12.408
1.273 11.542
1.294 12.016
1.315 11.395
1.337 11.293
1.358 11.117
1.379 10.707
1.4 9.99
1.421 10.123
1.443 9.66
1.464 9.582
1.485 9.24
1.506 9.014
1.527 8.522
1.549 7.868
1.57 8.511
1.591 7.905
1.612 7.035
1.634 6.547
1.655 6.731
1.676 6.73
1.697 5.969
1.718 5.366
1.74 4.77
1.761 4.825
1.782 4.473
1.803 4.123
1.824 3.745
1.846 2.859
1.867 2.89
1.888 2.528
1.909 2.065
1.931 1.824
1.952 1.368
1.973 1.198
1.994 0.456
2.015 -0.137
2.037 -0.234
2.058 -0.54
2.079 -0.938
2.1 0.0
