Pendolo1,Pendolo2,Pendolo3,Pendolo4
1.79,1.59,1.34,1.18
1.84,1.64,1.39,1.23
1.84,1.64,1.39,1.23
1.88,1.68,1.43,1.27
1.77,1.57,1.32,1.16
1.92,1.72,1.47,1.31
1.7,1.5,1.25,1.09
1.9,1.7,1.45,1.29
1.79,1.59,1.34,1.18
1.81,1.61,1.36,1.2
1.85,1.65,1.4,1.24
1.87,1.67,1.42,1.26
1.8,1.6,1.35,1.19
1.73,1.53,1.28,1.12
1.85,1.65,1.4,1.24
1.76,1.56,1.31,1.15
1.94,1.74,1.49,1.33
1.73,1.53,1.28,1.12
1.91,1.71,1.46,1.3
1.81,1.61,1.36,1.2
1.77,1.57,1.32,1.16
1.76,1.56,1.31,1.15
1.98,1.78,1.53,1.37
1.81,1.61,1.36,1.2
1.82,1.62,1.37,1.21
1.87,1.67,1.42,1.26
1.79,1.59,1.34,1.18
1.94,1.74,1.49,1.33
1.75,1.55,1.3,1.14
1.83,1.63,1.38,1.22
